
**************** NEW TRAIN SESSION ****************
1 (0 0%) Loss: 9.39641094
13 (16 0%) Loss: 3.26564217
25 (32 0%) Loss: 6.97241592
37 (48 0%) Loss: 3.35338473
49 (64 0%) Loss: 3.15041161
61 (80 0%) Loss: 2.77190161
72 (96 0%) Loss: 3.80532646
84 (112 0%) Loss: 16.95381355
96 (128 0%) Loss: 3.78827143
108 (144 0%) Loss: 3.16709781
119 (160 0%) Loss: 2.92607951
131 (176 0%) Loss: 6.03628874
143 (192 0%) Loss: 3.29623675
155 (208 0%) Loss: 2.88038087
167 (224 0%) Loss: 2.98351812
179 (240 0%) Loss: 5.89397907
190 (256 0%) Loss: 6.17306852
202 (272 0%) Loss: 3.80772400
214 (288 0%) Loss: 5.42723751
226 (304 0%) Loss: 3.01102376
237 (320 0%) Loss: 2.84217739
249 (336 0%) Loss: 3.06678462
261 (352 0%) Loss: 3.46226811
273 (368 0%) Loss: 10.23206902
284 (384 0%) Loss: 3.72106338
296 (400 0%) Loss: 3.03836989
308 (416 0%) Loss: 2.97481084
320 (432 0%) Loss: 3.48883724
332 (448 0%) Loss: 3.22828889
343 (464 0%) Loss: 9.95734024
355 (480 0%) Loss: 11.87554550
367 (496 0%) Loss: 2.99372458
379 (512 0%) Loss: 2.64847517
390 (528 0%) Loss: 9.58770275
402 (544 0%) Loss: 7.26502037
414 (560 0%) Loss: 3.12507105
426 (576 0%) Loss: 4.14553881
438 (592 0%) Loss: 16.48697281
449 (608 0%) Loss: 3.05815315
461 (624 0%) Loss: 3.36476636
473 (640 0%) Loss: 2.88442683
485 (656 0%) Loss: 3.09482169
496 (672 0%) Loss: 5.45322514
508 (688 0%) Loss: 3.98341560
520 (704 0%) Loss: 3.16507936
532 (720 0%) Loss: 5.38883972
543 (736 0%) Loss: 9.57288456
555 (752 0%) Loss: 3.61912537
567 (768 0%) Loss: 2.90150428
579 (784 0%) Loss: 8.91418362
590 (800 0%) Loss: 2.93145132
603 (816 0%) Loss: 3.16247559
614 (832 0%) Loss: 8.33779335
626 (848 0%) Loss: 7.02058506
638 (864 0%) Loss: 3.26226234
650 (880 0%) Loss: 4.15495634
661 (896 0%) Loss: 2.68956447
673 (912 0%) Loss: 2.91133118
685 (928 0%) Loss: 4.03267097
697 (944 0%) Loss: 3.20391345
709 (960 0%) Loss: 3.18993902
720 (976 0%) Loss: 7.43575621
732 (992 0%) Loss: 2.98516941
744 (1008 0%) Loss: 3.27574587
756 (1024 0%) Loss: 11.19238853
767 (1040 0%) Loss: 5.56607485
779 (1056 0%) Loss: 3.39783764
791 (1072 0%) Loss: 10.06635857
803 (1088 0%) Loss: 2.86438656
815 (1104 0%) Loss: 3.23799443
826 (1120 0%) Loss: 2.80112028
838 (1136 0%) Loss: 2.89072442
850 (1152 0%) Loss: 2.96253371
862 (1168 0%) Loss: 4.43558884
873 (1184 0%) Loss: 9.56596088
885 (1200 0%) Loss: 6.80346870
897 (1216 0%) Loss: 11.08845425
909 (1232 0%) Loss: 2.89335704
920 (1248 0%) Loss: 12.98016357
932 (1264 0%) Loss: 2.66103983
944 (1280 0%) Loss: 2.98267889
956 (1296 0%) Loss: 3.40824151
968 (1312 0%) Loss: 3.06670976
979 (1328 0%) Loss: 3.17173338
991 (1344 0%) Loss: 3.85705566
1003 (1360 0%) Loss: 3.22166944
1015 (1376 0%) Loss: 3.18804526
1027 (1392 0%) Loss: 5.93752098
1038 (1408 0%) Loss: 3.22156525
1050 (1424 0%) Loss: 4.36420012
1062 (1440 0%) Loss: 13.36164379
1074 (1456 0%) Loss: 3.06910777
1085 (1472 0%) Loss: 7.71321726
1097 (1488 0%) Loss: 2.96770310
1109 (1504 0%) Loss: 2.98445487
1121 (1520 0%) Loss: 5.65950394
1133 (1536 0%) Loss: 3.10273838
1144 (1552 0%) Loss: 3.96634436
1156 (1568 0%) Loss: 3.19941330
1168 (1584 0%) Loss: 6.03793573
1180 (1600 0%) Loss: 7.70796871
1192 (1616 0%) Loss: 2.99606752
1203 (1632 0%) Loss: 10.43779469
1215 (1648 0%) Loss: 3.29464197
1227 (1664 0%) Loss: 3.19251466
1239 (1680 0%) Loss: 3.07407904
1250 (1696 0%) Loss: 3.35592294
1262 (1712 0%) Loss: 3.34164906
1274 (1728 0%) Loss: 3.18595839
1286 (1744 0%) Loss: 3.41864610
1297 (1760 0%) Loss: 2.95099449
1309 (1776 0%) Loss: 5.94322157
1321 (1792 0%) Loss: 9.20945168
1333 (1808 0%) Loss: 3.32881951
1344 (1824 0%) Loss: 4.01793385
